Source,Target
BlastoiseMega Blastoise,AlakazamMega Alakazam
BlastoiseMega Blastoise,Pidgeotto
BlastoiseMega Blastoise,Caterpie
BlastoiseMega Blastoise,Mankey
BlastoiseMega Blastoise,Mankey
BlastoiseMega Blastoise,MeowsticFemale
BlastoiseMega Blastoise,Mankey
BlastoiseMega Blastoise,Mankey
BlastoiseMega Blastoise,Caterpie
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Raichu
BlastoiseMega Blastoise,Mankey
BlastoiseMega Blastoise,AlakazamMega Alakazam
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
BlastoiseMega Blastoise,Arbok
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Pidgeotto
Bulbasaur,Ekans
Bulbasaur,Pidgeotto
Bulbasaur,Wartortle
Bulbasaur,Sandshrew
Bulbasaur,Ekans
Bulbasaur,AlakazamMega Alakazam
Bulbasaur,CharizardMega Charizard Y
Bulbasaur,Nidorina
Bulbasaur,Alakazam
Bulbasaur,Alakazam
Bulbasaur,MeowsticFemale
Bulbasaur,Blastoise
Bulbasaur,Blastoise
Bulbasaur,Blastoise
Bulbasaur,Blastoise
Bulbasaur,Blastoise
Bulbasaur,Blastoise
Bulbasaur,Blastoise
Bulbasaur,Blastoise
Bulbasaur,Blastoise
Bulbasaur,Blastoise
Butterfree,Pidgey
Butterfree,Nidorina
Butterfree,Pidgey
Butterfree,Ninetales
Butterfree,Ninetales
Caterpie,Sandshrew
Caterpie,Clefable
Caterpie,PidgeotMega Pidgeot
Caterpie,Fearow
Caterpie,Sandshrew
Caterpie,Weedle
Caterpie,PidgeotMega Pidgeot
Caterpie,Sandshrew
Caterpie,Clefable
Caterpie,Weedle
Caterpie,PidgeotMega Pidgeot
Caterpie,Ninetales
Caterpie,PidgeotMega Pidgeot
Caterpie,Sandshrew
Caterpie,Clefable
Caterpie,Kakuna
Caterpie,PidgeotMega Pidgeot
Caterpie,PidgeotMega Pidgeot
Caterpie,Clefable
Caterpie,PidgeotMega Pidgeot
Caterpie,Clefable
Caterpie,Weedle
Caterpie,Clefable
Caterpie,Weedle
Caterpie,PidgeotMega Pidgeot
Caterpie,Pidgeotto
Caterpie,AlakazamMega Alakazam
Caterpie,Mankey
Caterpie,MeowsticFemale
Caterpie,Ekans
Caterpie,AlakazamMega Alakazam
Caterpie,Raichu
Caterpie,Sandshrew
Caterpie,MeowsticFemale
Caterpie,Sandshrew
Caterpie,MeowsticFemale
Caterpie,Sandshrew
Caterpie,AlakazamMega Alakazam
Caterpie,AlakazamMega Alakazam
Caterpie,Sandshrew
Caterpie,Raichu
Caterpie,AlakazamMega Alakazam
Caterpie,AlakazamMega Alakazam
Caterpie,Sandshrew
Caterpie,AlakazamMega Alakazam
Caterpie,Sandshrew
Caterpie,Sandshrew
Caterpie,Sandshrew
Caterpie,Sandshrew
Caterpie,Sandshrew
Caterpie,Sandshrew
Caterpie,Sandshrew
Caterpie,Sandshrew
Chansey,Venomoth
Charizard,CharizardMega Charizard X
Charizard,Butterfree
Charizard,Pidgeot
Charizard,Butterfree
CharizardMega Charizard X,Pidgeot
CharizardMega Charizard X,Pidgeot
CharizardMega Charizard X,Nidorina
CharizardMega Charizard Y,Butterfree
CharizardMega Charizard Y,Clefable
CharizardMega Charizard Y,Alakazam
CharizardMega Charizard Y,MeowsticFemale
CharizardMega Charizard Y,Alakazam
CharizardMega Charizard Y,Clefable
CharizardMega Charizard Y,Alakazam
CharizardMega Charizard Y,Alakazam
CharizardMega Charizard Y,MeowsticFemale
CharizardMega Charizard Y,Alakazam
CharizardMega Charizard Y,MeowsticFemale
CharizardMega Charizard Y,Alakazam
CharizardMega Charizard Y,MeowsticFemale
CharizardMega Charizard Y,MeowsticFemale
CharizardMega Charizard Y,MeowsticFemale
CharizardMega Charizard Y,Alakazam
CharizardMega Charizard Y,Alakazam
CharizardMega Charizard Y,Alakazam
Charmander,Spearow
Charmander,CharizardMega Charizard X
Charmander,Arbok
Charmander,Charizard
Charmander,Pidgeotto
Charmander,Pidgeotto
Charmeleon,BeedrillMega Beedrill
Charmeleon,CharizardMega Charizard X
Charmeleon,BeedrillMega Beedrill
Charmeleon,BeedrillMega Beedrill
Charmeleon,BeedrillMega Beedrill
Charmeleon,BeedrillMega Beedrill
Charmeleon,BeedrillMega Beedrill
Charmeleon,Metapod
Chesnaught,Frogadier
Chesnaught,Frogadier
Chesnaught,Ivysaur
Clefable,AlakazamMega Alakazam
Clefable,Haunter
Clefairy,Zubat
Diglett,Haunter
Diglett,Seadra
Diglett,Seadra
Diglett,Magmar
Diglett,Golbat
Diglett,Magmar
Dugtrio,Kadabra
Dugtrio,Meowth
Dugtrio,Meowth
Dugtrio,Meowth
Dugtrio,Kadabra
Dugtrio,Seadra
Dugtrio,Meowth
Dugtrio,Meowth
Dugtrio,Meowth
Dugtrio,Meowth
Ekans,Arbok
Ekans,Poliwrath
Ekans,Poliwrath
Ekans,Nidorino
Ekans,Nidorino
Ekans,Nidorino
Ekans,Nidorino
Ekans,Nidorino
Fearow,Sandshrew
Fearow,Clefable
Fearow,Clefable
Fearow,Clefable
Frogadier,Golduck
Frogadier,Venomoth
Gloom,Gogoat
Gloom,Venonat
Gloom,Vileplume
Gloom,Seel
Gloom,Seel
Gloom,Seel
Gloom,Seel
Gloom,Gogoat
Gloom,Gogoat
Golbat,Venomoth
Golbat,Gogoat
Golbat,Gogoat
Golbat,Gloom
Golbat,Seel
Golbat,Seel
Golbat,Gloom
Golbat,Gogoat
Golbat,Gloom
Golbat,Gloom
Golbat,Gogoat
Golbat,Oddish
Golduck,Arcanine
Golduck,Arcanine
Golduck,Arcanine
Golduck,Chansey
Golduck,Chansey
Golduck,Poliwhirl
Golduck,Growlithe
Golduck,Growlithe
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Machop
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Poliwhirl
Growlithe,Abra
Growlithe,Machop
Growlithe,Seadra
Growlithe,Machop
Growlithe,Seadra
Growlithe,Machop
Growlithe,Magmar
Growlithe,Magmar
Growlithe,Magmar
Growlithe,Magmar
Growlithe,Magmar
Growlithe,Magmar
Growlithe,Magmar
Growlithe,Magmar
Growlithe,Magmar
Growlithe,Magmar
Growlithe,Poliwhirl
Growlithe,Magmar
Ivysaur,BeedrillMega Beedrill
Ivysaur,VenusaurMega Venusaur
Ivysaur,Haunter
Ivysaur,Ekans
Jigglypuff,Haunter
Jigglypuff,Ivysaur
Jigglypuff,Zubat
Kakuna,Nidoking
Kakuna,Fearow
Kakuna,Sandshrew
Kakuna,Clefable
Kakuna,Fearow
Kakuna,Sandshrew
Kakuna,Sandshrew
Kakuna,Clefable
Kakuna,Sandshrew
Kakuna,Sandshrew
Kakuna,Clefable
Kakuna,Sandshrew
Kakuna,Sandshrew
Kakuna,Sandshrew
Kakuna,Sandshrew
Kakuna,Alakazam
Kakuna,Poliwrath
Kakuna,Ekans
Kakuna,Clefable
Kakuna,Clefable
Kakuna,Pidgeotto
Kakuna,Pidgeotto
Mankey,AlakazamMega Alakazam
Meowth,Electrode
Meowth,Abra
Meowth,Persian
Meowth,Electrode
Meowth,Electrode
Meowth,Electrode
Meowth,Electrode
Meowth,Electrode
Meowth,Electrode
Metapod,Butterfree
Metapod,Nidorina
Metapod,Ninetales
Metapod,Pikachu
Metapod,Butterfree
Metapod,Pikachu
Metapod,Weedle
Metapod,Clefable
Metapod,Pikachu
Metapod,Butterfree
Metapod,Pidgey
Nidoking,Ninetales
Nidoking,Poliwrath
Nidoking,Poliwrath
Nidoran♂,Seel
Nidoran♂,Gogoat
Nidoran♂,Seel
Nidoran♂,Gogoat
Nidoran♂,Gogoat
Nidoran♂,Parasect
Nidoran♂,Gogoat
Nidoran♂,Gogoat
Nidoran♂,Gogoat
Nidoran♂,Seel
Nidoran♂,Spritzee
Nidoran♂,Venonat
Nidoran♂,Talonflame
Nidoran♂,Wigglytuff
Nidoran♂,Oddish
Nidoran♂,Vileplume
Nidoran♂,Gogoat
Nidoran♂,Gloom
Nidoran♂,Seel
Nidoran♂,Gogoat
Nidoran♂,Gloom
Nidoran♂,Seel
Nidoran♂,Gogoat
Nidoran♂,Seel
Nidoran♂,Gogoat
Nidoran♂,Seel
Nidoran♂,Wigglytuff
Nidoran♂,Zubat
Nidoran♂,Clefairy
Nidoran♂,Seel
Nidoran♂,Gogoat
Nidoran♂,Rhyhorn
Nidoran♂,Clefairy
Nidoran♀,Nidorina
Nidoran♀,AlakazamMega Alakazam
Nidorina,Ninetales
Nidorina,Poliwrath
Nidorino,MeowsticFemale
Ninetales,Alakazam
Oddish,Seel
Oddish,Venomoth
Oddish,Seel
Oddish,Venomoth
Oddish,Venomoth
Oddish,Venomoth
Oddish,Venomoth
Oddish,Venomoth
Oddish,Parasect
Oddish,Venonat
Oddish,Venonat
Oddish,Venomoth
Oddish,Venomoth
Oddish,Seel
Paras,Venonat
Paras,Venomoth
Paras,Gogoat
Paras,Seel
Paras,Spritzee
Paras,Spritzee
Paras,Spritzee
Paras,Spritzee
Paras,Spritzee
Paras,Rhyhorn
Paras,Rhyhorn
Paras,Spritzee
Paras,Spritzee
Paras,Spritzee
Paras,Spritzee
Paras,Spritzee
Parasect,Seel
Parasect,Gogoat
Parasect,Venonat
Parasect,Venonat
Parasect,Venonat
Parasect,Seel
Persian,Growlithe
Persian,Growlithe
Persian,Primeape
Persian,Growlithe
Persian,Primeape
Persian,Growlithe
Persian,Growlithe
Persian,Growlithe
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Growlithe
Persian,Growlithe
Persian,Primeape
Persian,Growlithe
Persian,Primeape
Persian,Primeape
Persian,Growlithe
Persian,Primeape
Persian,Primeape
Persian,Growlithe
Persian,Primeape
Persian,Growlithe
Persian,Growlithe
Persian,Primeape
Persian,Growlithe
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Growlithe
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Growlithe
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Growlithe
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Growlithe
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Primeape
Persian,Growlithe
Persian,Abra
Persian,Growlithe
Persian,Poliwhirl
Persian,Magikarp
Persian,Primeape
Persian,Poliwhirl
Persian,Primeape
Persian,Primeape
Persian,Magikarp
Persian,Primeape
Persian,Primeape
Persian,Magikarp
Persian,Primeape
Persian,Magikarp
Persian,Growlithe
Persian,Poliwhirl
Persian,Magmar
PidgeotMega Pidgeot,Sandshrew
PidgeotMega Pidgeot,Clefable
PidgeotMega Pidgeot,Ninetales
PidgeotMega Pidgeot,Clefable
PidgeotMega Pidgeot,Fearow
PidgeotMega Pidgeot,Poliwrath
PidgeotMega Pidgeot,Poliwrath
PidgeotMega Pidgeot,Poliwrath
PidgeotMega Pidgeot,Poliwrath
PidgeotMega Pidgeot,Poliwrath
Pidgeotto,AlakazamMega Alakazam
Pidgeotto,Nidoking
Pidgeotto,Nidoking
Pidgey,Clefable
Pidgey,Clefable
Pidgey,Ninetales
Pidgey,Nidoking
Pidgey,Ninetales
Pidgey,Nidorina
Pidgey,Ninetales
Pidgey,Nidorina
Pidgey,Pidgeotto
Pidgey,Nidoking
Pidgey,PidgeotMega Pidgeot
Pidgey,Ninetales
Pikachu,Raichu
Pikachu,Nidorina
Pikachu,Nidorina
Poliwag,Kadabra
Poliwag,Kadabra
Poliwhirl,Magikarp
Poliwhirl,Lickitung
Poliwhirl,Magikarp
Poliwhirl,Chansey
Poliwhirl,Lickitung
Poliwhirl,Magmar
Poliwhirl,Lickitung
Poliwhirl,Lickitung
Poliwhirl,Chansey
Poliwhirl,Chansey
Poliwhirl,Chansey
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Growlithe
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Magikarp
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Magikarp
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Magikarp
Primeape,Poliwhirl
Primeape,Poliwhirl
Primeape,Magikarp
Primeape,Arcanine
Primeape,Arcanine
Psyduck,Arcanine
Psyduck,Arcanine
Psyduck,Arcanine
Psyduck,Arcanine
Psyduck,Arcanine
Psyduck,Arcanine
Psyduck,Machop
Psyduck,Machop
Psyduck,Machop
Psyduck,Machop
Psyduck,Machop
Psyduck,Abra
Psyduck,Abra
Psyduck,Growlithe
Psyduck,Abra
Psyduck,Electrode
Psyduck,Seadra
Psyduck,Kangaskhan
Psyduck,Machop
Raichu,Clefable
Raichu,Alakazam
Raichu,Sandshrew
Raichu,AlakazamMega Alakazam
Raichu,Sandshrew
Raticate,Nidoran♀
Rattata,Nidorina
Rattata,Raichu
Rattata,Spearow
Rattata,Spearow
Sandshrew,Clefable
Sandshrew,Clefable
Sandshrew,Clefable
Sandshrew,Clefable
Sandshrew,Clefable
Sandshrew,Clefable
Sandshrew,Clefable
Sandshrew,Clefable
Sandshrew,Clefable
Sandshrew,Clefable
Sandshrew,Clefable
Sandshrew,Clefable
Sandshrew,Mankey
Sandshrew,AlakazamMega Alakazam
Sandshrew,MeowsticFemale
Sandshrew,AlakazamMega Alakazam
Sandshrew,AlakazamMega Alakazam
Sandslash,Vileplume
Sandslash,Rhyhorn
Sandslash,Vileplume
Sandslash,Oddish
Sandslash,Oddish
Sandslash,Oddish
Sandslash,Nidoran♂
Sandslash,Seel
Sandslash,Parasect
Sandslash,Seel
Spearow,Pikachu
Spearow,Pikachu
Squirtle,Ekans
Squirtle,Raticate
Squirtle,Arbok
Squirtle,Pidgeotto
Squirtle,Pidgeotto
Squirtle,Pidgeotto
Squirtle,Pidgeotto
Squirtle,Pidgeotto
Squirtle,Kakuna
Squirtle,Pidgeotto
Squirtle,Pidgeotto
Squirtle,Pidgeotto
Venomoth,Seel
Venonat,Venomoth
Venonat,Gogoat
Venonat,Rhyhorn
Venonat,Rhyhorn
Venonat,Venomoth
Venusaur,Pidgeotto
Venusaur,Mankey
Venusaur,AlakazamMega Alakazam
Venusaur,BlastoiseMega Blastoise
Venusaur,Kakuna
Venusaur,Raichu
Venusaur,Sandshrew
Venusaur,Clefable
Venusaur,Raichu
Venusaur,Clefable
Venusaur,Ekans
Venusaur,BlastoiseMega Blastoise
Venusaur,Mankey
Venusaur,BlastoiseMega Blastoise
Venusaur,Raichu
Venusaur,Raichu
Venusaur,AlakazamMega Alakazam
VenusaurMega Venusaur,Charmeleon
Vileplume,Rhyhorn
Vileplume,Spritzee
Vileplume,Rhyhorn
Vileplume,Spritzee
Wartortle,Blastoise
Wartortle,Ekans
Wartortle,Nidorino
Wartortle,MeowsticFemale
Wartortle,Ekans
Wartortle,Ekans
Wartortle,Ekans
Wartortle,Ekans
Wartortle,Ekans
Wartortle,Ekans
Wartortle,Ekans
Wartortle,Ekans
Wartortle,Ekans
Wartortle,Ekans
Wartortle,Ekans
Wartortle,Ekans
Wartortle,Ekans
Weedle,Beedrill
Weedle,PidgeotMega Pidgeot
Weedle,Beedrill
Weedle,PidgeotMega Pidgeot
Weedle,Nidorina
Weedle,Pikachu
Weedle,PidgeotMega Pidgeot
Weedle,PidgeotMega Pidgeot
Weedle,PidgeotMega Pidgeot
Weedle,Arbok
Weedle,Pikachu
Weedle,Poliwrath
Weedle,PidgeotMega Pidgeot
Weedle,Poliwrath
Weedle,Beedrill
Weedle,Arbok
Wigglytuff,Venonat
Wigglytuff,Venonat
Wigglytuff,Paras
Wigglytuff,Gogoat
Wigglytuff,Parasect
Wigglytuff,Oddish
Wigglytuff,Parasect
Wigglytuff,Gogoat
Wigglytuff,Parasect
Wigglytuff,Oddish
Wigglytuff,Oddish
Wigglytuff,Oddish
Wigglytuff,Zubat
Zubat,Parasect
Zubat,Venonat
Zubat,Oddish
Zubat,Golbat
Zubat,Oddish
Zubat,Oddish
Zubat,Venonat
